1,KELTNER_BREAKOUT f21/s26 p1=1.8 p2=55.0 p3=1.0 off=5.0 exp=6,KELTNER_BREAKOUT,D1,LIMIT,LONG_ONLY,25.0,25.0,289,61.5916955017301,1.0301125430705393,107.16439000000082,0.3708110380622866,6.951738610891835,0.23311598231525876,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
2,CANDLE_ENGULFING f20/s144 p1=66.0 p2=66.0 p3=1.0 off=0.75 exp=8,CANDLE_ENGULFING,D1,LIMIT,BOTH,13.5,21.5,237,50.63291139240506,1.005549295413322,11.771694999999966,0.049669599156117995,3.6741678300805303,0.040695362027132656,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
3,CANDLE_ENGULFING f13/s144 p1=52.0 p2=66.0 p3=1.0 off=2.0 exp=8,CANDLE_ENGULFING,D1,LIMIT,BOTH,13.5,25.0,221,46.60633484162896,1.0144476248137042,31.085690000000056,0.14065923076923104,3.6652239194402614,0.10232778236221088,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
4,CANDLE_ENGULFING f50/s89 p1=52.0 p2=52.0 p3=1.0 off=0.5 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,22.0,25.0,207,57.971014492753625,1.0465443678526596,109.52766000000014,0.5291191304347833,4.970061992512282,0.3209772841920417,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
5,DONCHIAN f26/s89 p1=66.0 p2=58.0 p3=1.0 off=1.5 exp=8,DONCHIAN,D1,LIMIT,BOTH,20.0,22.5,206,58.25242718446602,1.0104365121803776,23.323340000000854,0.11322009708738279,3.451262419990449,0.06799152280259645,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
6,CANDLE_ENGULFING f50/s100 p1=55.0 p2=66.0 p3=1.0 off=3.0 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,19.0,24.0,205,56.58536585365854,1.0517274260376475,110.22751000000022,0.5376951707317084,3.9564912140730444,0.3553507639258703,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
7,CANDLE_ENGULFING f10/s144 p1=66.0 p2=55.0 p3=1.0 off=3.5 exp=7,CANDLE_ENGULFING,D1,LIMIT,BOTH,20.0,24.0,202,55.94059405940594,1.015535632679397,34.583280000000045,0.17120435643564377,4.087979474087708,0.10510661303439074,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
8,PRICE_STRUCTURE f20/s89 p1=52.0 p2=66.0 p3=1.0 off=4.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.5,17.5,198,63.13131313131313,1.057484850811664,99.51028000000073,0.5025771717171754,3.0029705864019487,0.3362467815062306,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
9,DONCHIAN f10/s89 p1=66.0 p2=55.0 p3=1.0 off=4.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,16.0,18.0,195,60.51282051282051,1.0327328400176037,55.55607000000066,0.28490292307692644,2.807548407372052,0.19462030887363135,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
10,CANDLE_ENGULFING f21/s89 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,BOTH,18.0,23.5,193,54.92227979274612,1.0338596916337432,67.6237100000001,0.3503819170984461,2.779689873852194,0.22118469070402727,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
11,CANDLE_ENGULFING f5/s144 p1=55.0 p2=55.0 p3=1.0 off=4.25 exp=8,CANDLE_ENGULFING,D1,LIMIT,BOTH,22.0,25.0,193,56.476683937823836,1.0006714338582023,1.5265799999998535,0.007909740932641728,4.758690044862289,0.004478113403325203,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
12,PRICE_STRUCTURE f13/s89 p1=66.0 p2=52.0 p3=1.0 off=2.75 exp=3,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.0,25.0,191,52.87958115183246,1.0383994435108466,79.75537000000071,0.4175673821989566,3.6467307760805174,0.240897205988568,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
13,DONCHIAN f20/s100 p1=52.0 p2=62.0 p3=1.0 off=5.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,15.0,23.5,171,52.63157894736842,1.0609863339939523,104.27882000000054,0.6098176608187166,2.7204967256832266,0.34901509819271953,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
14,PRICE_STRUCTURE f3/s100 p1=66.0 p2=52.0 p3=1.0 off=4.25 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,15.0,25.0,170,49.411764705882355,1.0052944566782627,9.599970000000553,0.056470411764709134,3.942800748768359,0.03133858668366654,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
15,DONCHIAN f5/s100 p1=66.0 p2=66.0 p3=1.0 off=1.25 exp=2,DONCHIAN,D1,LIMIT,BOTH,23.0,24.0,169,60.35502958579882,1.0406157788333525,79.86851000000024,0.4725947337278121,4.183558523931544,0.23618101183118256,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
16,DONCHIAN f13/s100 p1=52.0 p2=52.0 p3=1.0 off=4.5 exp=8,DONCHIAN,D1,LIMIT,BOTH,14.5,24.5,169,50.29585798816568,1.0437313024390056,75.56255000000067,0.44711568047337674,3.3281289025628604,0.25184238533326003,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
17,PRICE_STRUCTURE f8/s100 p1=66.0 p2=66.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,15.5,24.0,169,52.071005917159766,1.0407391940827706,71.10180500000058,0.42072073964497386,2.822435986253963,0.23496795642939747,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
18,PRICE_STRUCTURE f3/s100 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,22.0,24.5,168,58.333333333333336,1.0515820179198851,102.05729000000073,0.6074838690476234,3.1244459496145107,0.29745041111901105,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
19,PRICE_STRUCTURE f34/s100 p1=66.0 p2=55.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,16.5,24.0,168,52.976190476190474,1.0288671243731762,51.611355000000685,0.30721044642857553,3.2881868855150964,0.1674808655076548,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
20,DONCHIAN f5/s100 p1=52.0 p2=66.0 p3=1.0 off=3.25 exp=5,DONCHIAN,D1,LIMIT,BOTH,18.0,22.5,167,55.68862275449102,1.0081234819829272,14.59300500000046,0.08738326347305665,4.009421238425615,0.047021127816507746,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
21,PRICE_STRUCTURE f10/s89 p1=66.0 p2=66.0 p3=1.0 off=0.75 exp=8,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,15.0,23.5,166,53.01204819277108,1.0526838400394047,87.59605000000045,0.5276870481927738,4.109604582075123,0.29757173877064735,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
22,DONCHIAN f55/s100 p1=52.0 p2=55.0 p3=1.0 off=5.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,11.0,24.0,165,46.06060606060606,1.0344101928539353,52.457050000000066,0.31792151515151557,3.2739787247552985,0.19122344158593793,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
23,CANDLE_ENGULFING f13/s100 p1=52.0 p2=66.0 p3=1.0 off=1.25 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,16.0,25.0,158,50.63291139240506,1.0087613287748383,14.475060000000155,0.09161430379746933,4.823228824685715,0.054031976078747046,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
24,CANDLE_ENGULFING f10/s100 p1=66.0 p2=52.0 p3=1.0 off=2.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,21.0,21.5,153,62.745098039215684,1.1009848313409325,150.41093000000023,0.9830779738562107,2.9091694847709983,0.5736369914250632,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
25,PRICE_STRUCTURE f26/s100 p1=55.0 p2=66.0 p3=1.0 off=1.25 exp=6,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,22.0,24.5,153,59.47712418300654,1.0526771978562206,94.0005200000007,0.6143824836601354,3.8117212451100952,0.2880393913925061,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
26,DONCHIAN f10/s100 p1=66.0 p2=66.0 p3=1.0 off=1.75 exp=7,DONCHIAN,D1,LIMIT,LONG_ONLY,18.0,23.5,151,55.629139072847686,1.0094821769783358,15.555880000000741,0.10301907284768702,4.2157727399698,0.052262026197192994,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
27,CANDLE_ENGULFING f34/s144 p1=66.0 p2=58.0 p3=1.0 off=2.75 exp=8,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.5,23.5,148,65.54054054054055,1.2641504115793931,382.7357900000003,2.586052635135137,1.7762766369629541,1.3824758652323001,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
28,PRICE_STRUCTURE f8/s89 p1=66.0 p2=52.0 p3=1.0 off=3.5 exp=5,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,11.5,23.5,148,46.62162162162162,1.0147254987574037,20.75908000000055,0.14026405405405779,4.0236634030628915,0.07744219744147071,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
29,CANDLE_ENGULFING f26/s144 p1=55.0 p2=66.0 p3=1.0 off=1.0 exp=3,CANDLE_ENGULFING,D1,STOP,LONG_ONLY,23.0,25.0,146,58.21917808219178,1.0046840850099652,8.068539999999643,0.055263972602737285,4.047679641478424,0.02756263013685111,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
30,PRICE_STRUCTURE f55/s144 p1=66.0 p2=66.0 p3=1.0 off=2.5 exp=4,PRICE_STRUCTURE,D1,LIMIT,BOTH,25.0,25.0,145,61.37931034482759,1.0636983474848734,112.27844000000056,0.774334068965521,3.690683227171194,0.33764445251934927,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
31,CANDLE_ENGULFING f8/s144 p1=52.0 p2=62.0 p3=1.0 off=0.75 exp=3,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,25.0,25.0,144,61.80555555555556,1.083074427792093,139.2822550000001,0.9672378819444452,4.172712491009829,0.4646812297034968,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
32,TREND_EMA f55/s144 p1=66.0 p2=52.0 p3=1.0 off=3.25 exp=7,TREND_EMA,D1,LIMIT,BOTH,24.5,25.0,144,61.111111111111114,1.0766836312153212,130.90611000000055,0.9090702083333372,3.135391468719389,0.4024025600905143,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
33,PRICE_STRUCTURE f55/s89 p1=66.0 p2=66.0 p3=1.0 off=2.0 exp=7,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,24.5,25.0,144,59.72222222222222,1.0021566561351645,3.9252300000005675,0.02725854166667061,5.197902176763808,0.011760868763990108,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
34,PRICE_STRUCTURE f5/s100 p1=55.0 p2=52.0 p3=1.0 off=4.75 exp=5,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,18.0,18.0,143,62.93706293706294,1.0486737501148424,64.52330500000087,0.4512119230769292,3.579598989763777,0.23726512951562995,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
35,CANDLE_ENGULFING f50/s55 p1=58.0 p2=52.0 p3=1.0 off=0.5 exp=1,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,24.5,25.0,139,60.431654676258994,1.0490926473905804,80.14961000000017,0.5766158992805768,4.743143355180438,0.2748311894588882,TIDAK,,N/A — belum pre-portfolio,POSITIF — BELUM LOLOS v11 (sample gagal)
